,date,county,state,fips,cases,deaths
5,2020-01-25,Orange,California,6059.0,1,0.0
9,2020-01-26,Los Angeles,California,6037.0,1,0.0
10,2020-01-26,Orange,California,6059.0,1,0.0
14,2020-01-27,Los Angeles,California,6037.0,1,0.0
15,2020-01-27,Orange,California,6059.0,1,0.0
19,2020-01-28,Los Angeles,California,6037.0,1,0.0
20,2020-01-28,Orange,California,6059.0,1,0.0
24,2020-01-29,Los Angeles,California,6037.0,1,0.0
25,2020-01-29,Orange,California,6059.0,1,0.0
29,2020-01-30,Los Angeles,California,6037.0,1,0.0
30,2020-01-30,Orange,California,6059.0,1,0.0
34,2020-01-31,Los Angeles,California,6037.0,1,0.0
35,2020-01-31,Orange,California,6059.0,1,0.0
36,2020-01-31,Santa Clara,California,6085.0,1,0.0
40,2020-02-01,Los Angeles,California,6037.0,1,0.0
41,2020-02-01,Orange,California,6059.0,1,0.0
42,2020-02-01,Santa Clara,California,6085.0,1,0.0
47,2020-02-02,Los Angeles,California,6037.0,1,0.0
48,2020-02-02,Orange,California,6059.0,1,0.0
49,2020-02-02,San Francisco,California,6075.0,2,0.0
50,2020-02-02,Santa Clara,California,6085.0,2,0.0
55,2020-02-03,Los Angeles,California,6037.0,1,0.0
56,2020-02-03,Orange,California,6059.0,1,0.0
57,2020-02-03,San Francisco,California,6075.0,2,0.0
58,2020-02-03,Santa Clara,California,6085.0,2,0.0
63,2020-02-04,Los Angeles,California,6037.0,1,0.0
64,2020-02-04,Orange,California,6059.0,1,0.0
65,2020-02-04,San Francisco,California,6075.0,2,0.0
66,2020-02-04,Santa Clara,California,6085.0,2,0.0
71,2020-02-05,Los Angeles,California,6037.0,1,0.0
72,2020-02-05,Orange,California,6059.0,1,0.0
73,2020-02-05,San Francisco,California,6075.0,2,0.0
74,2020-02-05,Santa Clara,California,6085.0,2,0.0
80,2020-02-06,Los Angeles,California,6037.0,1,0.0
81,2020-02-06,Orange,California,6059.0,1,0.0
82,2020-02-06,San Francisco,California,6075.0,2,0.0
83,2020-02-06,Santa Clara,California,6085.0,2,0.0
89,2020-02-07,Los Angeles,California,6037.0,1,0.0
90,2020-02-07,Orange,California,6059.0,1,0.0
91,2020-02-07,San Francisco,California,6075.0,2,0.0
92,2020-02-07,Santa Clara,California,6085.0,2,0.0
98,2020-02-08,Los Angeles,California,6037.0,1,0.0
99,2020-02-08,Orange,California,6059.0,1,0.0
100,2020-02-08,San Francisco,California,6075.0,2,0.0
101,2020-02-08,Santa Clara,California,6085.0,2,0.0
107,2020-02-09,Los Angeles,California,6037.0,1,0.0
108,2020-02-09,Orange,California,6059.0,1,0.0
109,2020-02-09,San Francisco,California,6075.0,2,0.0
110,2020-02-09,Santa Clara,California,6085.0,2,0.0
116,2020-02-10,Los Angeles,California,6037.0,1,0.0
117,2020-02-10,Orange,California,6059.0,1,0.0
118,2020-02-10,San Diego,California,6073.0,1,0.0
119,2020-02-10,San Francisco,California,6075.0,2,0.0
120,2020-02-10,Santa Clara,California,6085.0,2,0.0
126,2020-02-11,Los Angeles,California,6037.0,1,0.0
127,2020-02-11,Orange,California,6059.0,1,0.0
128,2020-02-11,San Diego,California,6073.0,1,0.0
129,2020-02-11,San Francisco,California,6075.0,2,0.0
130,2020-02-11,Santa Clara,California,6085.0,2,0.0
136,2020-02-12,Los Angeles,California,6037.0,1,0.0
137,2020-02-12,Orange,California,6059.0,1,0.0
138,2020-02-12,San Diego,California,6073.0,1,0.0
139,2020-02-12,San Francisco,California,6075.0,2,0.0
140,2020-02-12,Santa Clara,California,6085.0,2,0.0
147,2020-02-13,Los Angeles,California,6037.0,1,0.0
148,2020-02-13,Orange,California,6059.0,1,0.0
149,2020-02-13,San Diego,California,6073.0,1,0.0
150,2020-02-13,San Francisco,California,6075.0,2,0.0
151,2020-02-13,Santa Clara,California,6085.0,2,0.0
158,2020-02-14,Los Angeles,California,6037.0,1,0.0
159,2020-02-14,Orange,California,6059.0,1,0.0
160,2020-02-14,San Diego,California,6073.0,1,0.0
161,2020-02-14,San Francisco,California,6075.0,2,0.0
162,2020-02-14,Santa Clara,California,6085.0,2,0.0
169,2020-02-15,Los Angeles,California,6037.0,1,0.0
170,2020-02-15,Orange,California,6059.0,1,0.0
171,2020-02-15,San Diego,California,6073.0,1,0.0
172,2020-02-15,San Francisco,California,6075.0,2,0.0
173,2020-02-15,Santa Clara,California,6085.0,2,0.0
180,2020-02-16,Los Angeles,California,6037.0,1,0.0
181,2020-02-16,Orange,California,6059.0,1,0.0
182,2020-02-16,San Diego,California,6073.0,1,0.0
183,2020-02-16,San Francisco,California,6075.0,2,0.0
