,county,cases,fips,latitude,longitude
0,Imperial,2486469,6025,33.0408143,-115.3554001
1,Inyo,39360,6027,36.561977,-117.4039269
2,Kern,6042885,6029,35.3466288,-118.7295064
3,Los Angeles,59976957,6037,34.1963983,-118.26186159999999
4,Orange,11731923,6059,33.675687200000006,-117.7772068
5,Riverside,12947120,6065,33.7298275,-116.0022389
6,San Bernardino,12451039,6071,34.857219799999996,-116.1811967
7,San Diego,10827207,6073,33.0236041,-116.77611740000002
8,San Luis Obispo,768331,6079,35.3852242,-120.4475445
9,Santa Barbara,1801476,6083,34.53705720000001,-120.03997290000001
10,Ventura,2713987,6111,34.3587415,-119.1331432
