,date,county,state,fips,cases,deaths
5,1/25/2020,Orange,California,6059.0,1,0.0
9,1/26/2020,Los Angeles,California,6037.0,1,0.0
10,1/26/2020,Orange,California,6059.0,1,0.0
14,1/27/2020,Los Angeles,California,6037.0,1,0.0
15,1/27/2020,Orange,California,6059.0,1,0.0
19,1/28/2020,Los Angeles,California,6037.0,1,0.0
20,1/28/2020,Orange,California,6059.0,1,0.0
24,1/29/2020,Los Angeles,California,6037.0,1,0.0
25,1/29/2020,Orange,California,6059.0,1,0.0
29,1/30/2020,Los Angeles,California,6037.0,1,0.0
30,1/30/2020,Orange,California,6059.0,1,0.0
34,1/31/2020,Los Angeles,California,6037.0,1,0.0
35,1/31/2020,Orange,California,6059.0,1,0.0
40,2/1/2020,Los Angeles,California,6037.0,1,0.0
41,2/1/2020,Orange,California,6059.0,1,0.0
47,2/2/2020,Los Angeles,California,6037.0,1,0.0
48,2/2/2020,Orange,California,6059.0,1,0.0
55,2/3/2020,Los Angeles,California,6037.0,1,0.0
56,2/3/2020,Orange,California,6059.0,1,0.0
63,2/4/2020,Los Angeles,California,6037.0,1,0.0
64,2/4/2020,Orange,California,6059.0,1,0.0
71,2/5/2020,Los Angeles,California,6037.0,1,0.0
72,2/5/2020,Orange,California,6059.0,1,0.0
80,2/6/2020,Los Angeles,California,6037.0,1,0.0
81,2/6/2020,Orange,California,6059.0,1,0.0
89,2/7/2020,Los Angeles,California,6037.0,1,0.0
90,2/7/2020,Orange,California,6059.0,1,0.0
98,2/8/2020,Los Angeles,California,6037.0,1,0.0
99,2/8/2020,Orange,California,6059.0,1,0.0
107,2/9/2020,Los Angeles,California,6037.0,1,0.0
108,2/9/2020,Orange,California,6059.0,1,0.0
116,2/10/2020,Los Angeles,California,6037.0,1,0.0
117,2/10/2020,Orange,California,6059.0,1,0.0
118,2/10/2020,San Diego,California,6073.0,1,0.0
126,2/11/2020,Los Angeles,California,6037.0,1,0.0
127,2/11/2020,Orange,California,6059.0,1,0.0
128,2/11/2020,San Diego,California,6073.0,1,0.0
136,2/12/2020,Los Angeles,California,6037.0,1,0.0
137,2/12/2020,Orange,California,6059.0,1,0.0
138,2/12/2020,San Diego,California,6073.0,1,0.0
147,2/13/2020,Los Angeles,California,6037.0,1,0.0
148,2/13/2020,Orange,California,6059.0,1,0.0
149,2/13/2020,San Diego,California,6073.0,1,0.0
158,2/14/2020,Los Angeles,California,6037.0,1,0.0
159,2/14/2020,Orange,California,6059.0,1,0.0
160,2/14/2020,San Diego,California,6073.0,1,0.0
169,2/15/2020,Los Angeles,California,6037.0,1,0.0
170,2/15/2020,Orange,California,6059.0,1,0.0
171,2/15/2020,San Diego,California,6073.0,1,0.0
180,2/16/2020,Los Angeles,California,6037.0,1,0.0
181,2/16/2020,Orange,California,6059.0,1,0.0
182,2/16/2020,San Diego,California,6073.0,1,0.0
191,2/17/2020,Los Angeles,California,6037.0,1,0.0
192,2/17/2020,Orange,California,6059.0,1,0.0
193,2/17/2020,San Diego,California,6073.0,1,0.0
203,2/18/2020,Los Angeles,California,6037.0,1,0.0
204,2/18/2020,Orange,California,6059.0,1,0.0
205,2/18/2020,San Diego,California,6073.0,1,0.0
215,2/19/2020,Los Angeles,California,6037.0,1,0.0
