City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.53,20.04,64.4,68,100,4.7,ZA,1603655086
Wagar,16.15,36.2,88.86,32,32,11.74,SD,1603655086
Bira,49.0,132.47,34.07,88,0,3.56,RU,1603655086
Jamestown,42.1,-79.24,46.0,63,90,10.29,US,1603654935
Naze,28.37,129.48,64.4,88,90,3.36,JP,1603655071
Tiksi,71.69,128.87,4.69,90,100,30.51,RU,1603655087
Cape Town,-33.93,18.42,63.0,82,20,16.11,ZA,1603655010
Ushuaia,-54.8,-68.3,51.8,50,40,3.36,AR,1603655023
Grindavik,63.84,-22.43,42.8,87,75,10.29,IS,1603655088
Yellowknife,62.46,-114.35,28.4,74,75,8.05,CA,1603654842
Wanning,18.8,110.4,75.99,92,100,4.92,CN,1603655068
Yenagoa,4.92,6.26,76.55,91,58,3.71,NG,1603655088
Kongolo,-5.38,27.0,72.0,92,100,5.12,CD,1603655088
Albany,42.6,-73.97,50.0,42,0,5.39,US,1603655089
Belmonte,-15.86,-38.88,78.8,78,75,12.75,BR,1603655089
Krasnosel'kup,65.7,82.47,4.48,94,0,9.37,RU,1603655089
Pevek,69.7,170.31,26.78,97,100,7.36,RU,1603655089
Rikitea,-23.12,-134.97,73.81,80,100,19.08,PF,1603655019
Ugoofaaru,5.67,73.0,81.55,76,99,10.22,MV,1603655090
Ribeira Grande,38.52,-28.7,66.2,77,75,3.36,PT,1603655090
Morón,-34.65,-58.62,73.0,94,75,5.82,AR,1603654925
Puerto Ayora,-0.74,-90.35,78.8,69,40,20.8,EC,1603655090
Port Alfred,-33.59,26.89,65.71,80,93,2.55,ZA,1603655091
Guatire,10.48,-66.54,79.0,67,78,1.01,VE,1603655091
Talakan,50.32,130.37,32.92,94,0,2.95,RU,1603655091
Kapaa,22.08,-159.32,82.99,83,40,3.62,US,1603655091
Busselton,-33.65,115.33,55.0,64,0,0.43,AU,1603655035
Barrow,71.29,-156.79,26.6,73,90,3.36,US,1603655092
Abu Samrah,35.3,37.18,68.77,24,6,6.44,SY,1603655092
Pingzhuang,42.04,119.29,44.87,54,94,3.44,CN,1603655092
